title,price,store,image_url,product_url,rating,review_count
"Смартфон Redmi 7A 16GB (black, blue)",1512500.0,glotr,https://files.glotr.uz/company/000/016/284/products/2020/06/28/2020-06-28-11-21-34-046460-a9a7c0c11fa708aec81d26b4ed068c63.jpg?_=ozauc,https://glotr.uz/smartfon-redmi-7a-16gb-black-blue-p-321019/,4.90,
Смартфон GOOGLE Pixel 7 8GB 128GB Obsidian,9875000.0,glotr,https://files.glotr.uz/company/000/001/689/products/2022/11/22/2022-11-22-15-36-23-433885-fad235f5b8f926747919865ebe421abe.webp?_=ozauc,https://glotr.uz/smartfon-google-pixel-7-8gb-128gb-obsidian-p-768980/,4.90,
Смартфон Samsung Galaxy S22 8/256GB Черный фантом,8662000.0,glotr,https://files.glotr.uz/company/000/005/799/products/2023/08/29/2023-08-29-12-58-30-744776-7a41dd3d01ad33ceaa474b30e00533e0.webp?_=ozauc,https://glotr.uz/smartfon-samsung-galaxy-s22-8256gb-cherniy-fantom-p-878747/,4.90,
Смартфон Xiaomi Redmi 13 6GB/128GB,1891000.0,glotr,https://files.glotr.uz/company/000/002/429/products/2024/10/23/2024-10-23-14-34-57-590330-b3336fff1145db5dc3077196bda6f8bc.webp?_=ozauc,https://glotr.uz/smartfon-xiaomi-redmi-13-6gb128gb-p-1048777/,4.89,
Смартфон для детей Green Lion Kids GL-KPH-01 57554,600000.0,glotr,https://files.glotr.uz/company/000/018/821/products/2024/02/03/2024-02-03-12-01-40-934061-83b506fa0b8850c51b4c63b58e362bdb.webp?_=ozauc,https://glotr.uz/smartfon-dlya-detey-green-lion-kids-gl-kph-01-57554-p-944252/,4.87,
Смартфон Xiaomi 12 Lite 6/128GB Black,5265000.0,glotr,https://files.glotr.uz/company/000/007/665/products/2022/10/17/2022-10-17-16-24-57-406569-44fa6474a065eecad78f1c5f244fa9ac.webp?_=ozauc,https://glotr.uz/smartfon-xiaomi-12-lite-6128gb-black-p-756261/,4.87,
"НОВЫЙ Apple iPhone 16 Pro Max, 16 Pro, 16 Plus, 16, Apple Watch 10 и Airpods 4 уже в Ташкенте! ПОДАРКИ первым покупателям!",16186500.0,glotr,https://files.glotr.uz/company/000/001/428/products/2024/09/23/2024-09-23-09-29-17-087776-1fefbe15233ab7c11d8062a27420c545.webp?_=ozauc,https://glotr.uz/noviy-apple-iphone-16-pro-max-16-pro-16-plus-16-apple-watch-10-i-airpods-4-uje-v-tashkente-podarki-pervim-pokupatelyam-p-1039760/,4.81,
Электронный планшет для рисования развивающий цветной,140000.0,glotr,https://files.glotr.uz/company/000/020/195/products/2023/04/18/2023-04-18-11-45-48-502559-a33b1d213552c5ba56ceab718d1691af.webp?_=ozauc,https://glotr.uz/elektronniy-planshet-dlya-risovaniya-razvivayushiy-tsvetnoy-p-816786/,4.39,
Смартфон Camon 30 8+256 Basaltic Dark,2587500.0,glotr,https://files.glotr.uz/company/000/033/239/proposals/2025/11/06/2025-11-06-11-50-43-607344-4cf46c04ff0e3aa369afcee6043b2936.webp?_=ozauc,https://glotr.uz/smartfon-camon-30-8256-basaltic-dark-p-1121631/,4.36,
Телефон Xiaomi Redmi Note 12 4/128+6/128+8/128,2027704.0,glotr,https://files.glotr.uz/company/000/003/263/products/2023/03/07/2023-03-07-15-25-05-694756-56f976fda4e216683aa78589e8e336b3.webp?_=ozauc,https://glotr.uz/telefon-xiaomi-redmi-note-12-412861288128-p-802803/,4.22,
Смартфон Samsung Galaxy S22 Ultra 12/256GB Белый фантом,15616000.0,glotr,https://files.glotr.uz/company/000/005/799/products/2022/09/27/2022-09-27-14-19-35-959589-52c26059b1d585b08a0dc06e54b25f10.webp?_=ozauc,https://glotr.uz/smartfon-samsung-galaxy-s22-ultra-12256gb-beliy-fantom-p-750599/,4.90,
"Samsung J260 16 (black, blue, gold)",1306800.0,glotr,https://files.glotr.uz/company/000/016/284/products/2020/06/26/2020-06-26-19-56-39-802921-d00cf3e764f9e5755c0fe6df717dc31d.jpg?_=ozauc,https://glotr.uz/samsung-j260-16-black-blue-gold-p-320481/,4.90,
Смартфон POCO X7 5G 12/512GB Black,4150000.0,glotr,https://files.glotr.uz/company/000/001/689/proposals/2026/02/27/2026-02-27-16-35-58-462618-e5882ff5c77dfabbe217393955d0332c.webp?_=ozauc,https://glotr.uz/smartfon-poco-x7-5g-12512gb-black-p-1139679/,4.90,
Смартфон Xiaomi Redmi 13 8GB/256GB,2135000.0,glotr,https://files.glotr.uz/company/000/002/429/products/2024/10/23/2024-10-23-14-40-27-987910-710459d74f56a98b1f9f0bcb50e802d6.webp?_=ozauc,https://glotr.uz/smartfon-xiaomi-redmi-13-8gb256gb-p-1048783/,4.89,
"Смартфон Green Lion Kids 2,8",600000.0,glotr,https://files.glotr.uz/company/000/018/821/products/2023/12/29/2023-12-29-16-30-34-683644-56996ae27849e91ca24e1f338d4cd306.webp?_=ozauc,https://glotr.uz/smartfon-green-lion-kids-28-p-930275/,4.87,
Смартфон Xiaomi Redmi 10 4/128GB Carbon Gray (2022),2320000.0,glotr,https://files.glotr.uz/company/000/007/665/products/2022/10/28/2022-10-28-11-12-25-795641-5439cbb0c33e7bc74031a3d0b93f3a5f.webp?_=ozauc,https://glotr.uz/smartfon-xiaomi-redmi-10-4128gb-carbon-gray-2022-p-760124/,4.87,
Смартфон SPARK 40 Pro (KM6 256+8) Ink Black,2415000.0,glotr,https://files.glotr.uz/company/000/033/239/proposals/2025/11/06/2025-11-06-10-37-10-141204-643fae9cb6028c3bad2468353b230551.webp?_=ozauc,https://glotr.uz/smartfon-spark-40-pro-km6-2568-ink-black-p-1121607/,4.36,
Телефон Samsung Galaxy A12 2021 (A127) 4/64G,2185549.0,glotr,https://files.glotr.uz/company/000/003/263/products/2022/03/10/2022-03-10-11-27-50-652744-c3b7f0b56dd8370d2e020a33a9a65fbb.webp?_=ozauc,https://glotr.uz/telefon-samsung-galaxy-a12-2021-a127-464g-p-690342/,4.22,
