title,price,store,image_url,product_url,rating,review_count
Смартфон Samsung Galaxy A36 5G 8/256GB White (Белый),4783000.0,radius,https://new.api.radius.uz/media/images/product/f268115610d449bb82d9745dd4097bfe.webp,https://radius.uz/product/8434-samsung-galaxy-a36,,
Смартфон Samsung Galaxy A17 6/128GB Gray (Серый),2549000.0,radius,https://new.api.radius.uz/media/images/product/ae418b528a5f41f8b5c5b1ac8173871d.webp,https://radius.uz/product/12447-smartfon-samsung-galaxy-a17,,
Смартфон Samsung Galaxy A26 5G 8/256GB Black (Черный),5148000.0,radius,https://new.api.radius.uz/media/images/product/c857e20c7abf4b129034d0b55ee6f578.webp,https://radius.uz/product/6284-samsung-galaxy-a26,,
Смартфон Samsung Galaxy S26 5G 12/256GB White (Белый),11699000.0,radius,https://new.api.radius.uz/media/images/product/59def7cdf5d8439e8706a2cde2ca33cb.webp,https://radius.uz/product/12905-s26-base,,
Xiaomi Pad 6 6/128 ko'k,5140000.0,radius,https://new.api.radius.uz/media/images/product/bbece190657b4795b14a9a98adf08f81.webp,https://radius.uz/product/6737-xiaomi-pad-6,,
Samsung Galaxy Tab A8 3/32GB kumush rang,1618000.0,radius,https://new.api.radius.uz/media/images/product/0c8ebde199e245a68ae5ae5f498c007f.webp,https://radius.uz/product/6729-samsung-galaxy-tab-a8,,
Планшет Xiaomi Redmi pad 2 Pro 6/128GB Silver (Серебряный),3111000.0,radius,https://new.api.radius.uz/media/images/product/a5db973c02404ad4baadbebfb0870827.webp,https://radius.uz/product/12685-planshet-xiaomi-redmi-pad-2-pro,,
Samsung Galaxy Tab A7 Lite 3/32GB kumush rang,1245000.0,radius,https://new.api.radius.uz/media/images/product/46c8fd9fb66b4c7c969d60bbf1599475.webp,https://radius.uz/product/6726-samsung-galaxy-tab-a7-lite,,
Fitnes braslet Samsung Galaxy Fit 3 kulrang,611000.0,radius,https://new.api.radius.uz/media/images/product/b8d8b90b5d8c471f8ef71dc488833e76.webp,https://radius.uz/product/8882-fitnes-braslet-samsung-galaxy-fit-3,,
Детские умные часы Canyon Cindy KW-41 (розовый),262000.0,radius,https://new.api.radius.uz/media/images/product/189b313ba3eb4a47a6280d70ca51e0fe.webp,https://radius.uz/product/6908-detskie-umnye-chasy-canyon-cindy-kw-41,,
Fitnes braslet Mi Band 8 (qora),245000.0,radius,https://new.api.radius.uz/media/images/product/6f144cee230d430cb1482d1947689ece.webp,https://radius.uz/product/9739-mi-band-8,,
Детские умные часы Canyon Sandy KW-34 (синий),262000.0,radius,https://new.api.radius.uz/media/images/product/a9d3c819969d451a91ee5a0f3963adbf.webp,https://radius.uz/product/6904-detskie-umnye-chasy-canyon-sandy-kw-34,,
Текстильный ремешок Fabric Galaxy Watch 7 M/L (зелёный),315000.0,radius,https://new.api.radius.uz/media/images/product/a98c9d2129a7475785acc0ee3d7a2217.webp,https://radius.uz/product/9017-tekstilnyi-remeshok-fabric-galaxy-watch,,
