title,actual_price,url
INFINIX hot 50 i 4/6/8+128/256GB,1678740,/uz/product/infinix-hot-50-i-468128256gb-qora---1-1725073?skuId=5915593
Smartfon Honor X9C AMOLED 120 Hz 108 MP kamera 6600 mA/soat 66 Vt 8/256 GB,3028200,/uz/product/smartfon-honor-x9c-qora---1-1955625?skuId=6905325
Smartfon Samsung Galaxy A07 4/128GB 6/128GB 50 MP 2 SIM  90Hz 5000mAh,1322020,/uz/product/smartfon-samsung-galaxy-yashil---120-1904243?skuId=6696893
Smartfon Infinix Note 50 Pro 12+12 / 256 GB,3234000,/uz/product/smartfon-infinix-note-50-pro-1212-toʻq-kulrang---254-1654460?skuId=5915095
Smartfon Redmi 15C 8/256GB 6000 mA/s 6.9 ekran 50MP AI kamera 33 Vt tez zaryadlash,1292620,/uz/product/smartfon-redmi-15c-qora---1-1919113?skuId=6755658
Smartfon Ajib I1 4/64 Gb 4500Mah ekran 90Hz,685020,/uz/product/smartfon-ajib-i1-464-gb-4500mah-qora---1-2104678?skuId=7529642
Smartfon INOI Note 13s 6.95 IPS 5000 mah,730100,/uz/product/smartfon-inoi-note-13s-695-ips-siyohrang---131-1956886?skuId=6910779
Smartfon Samsung Galaxy A17 6.7 90Hz ekran kamera 50Mp batareya 5000 mA/h,2057020,/uz/product/smartfon-samsung-galaxy-koʻk---125-1965705?skuId=6945004
Smartfon Redmi Note 14 Pro 12 GB + 512 GB AMOLED 120Hz displey,3037020,/uz/product/smartfon-redmi-note-qora---1-1436486?skuId=4668133
INFINIX hot 50 i 4/6/8+128/256GB,1678740,/uz/product/infinix-hot-50-i-468128256gb-yashil---120-1725073?skuId=5915601
Smartfon SI mavjud HONOR X5c/X5c Plus 4/64/128 GB 6.74’ akkumulyator 5260 mAs,1086820,/uz/product/smartfon-si-mavjud-qora---1-1963899?skuId=6942927
Smartfon Samsung Galaxy A56 5G 50 MP Super AMOLED 120 Hz,4038580,/uz/product/smartfon-samsung-galaxy-zaytun---8-1602716?skuId=5321738
Smartfon INOI Note 13s 6.95 IPS 5000 mah,812420,/uz/product/smartfon-inoi-note-13s-695-ips-tilla---133-1956886?skuId=6910782
Smartfon Honor X9C AMOLED 120 Hz 108 MP kamera 6600 mA/soat 66 Vt 8/256 GB,3028200,/uz/product/smartfon-honor-x9c-yashil---120-1955625?skuId=6905329
Smartfon Samsung Galaxy A16 8+256GB Super AMOLED 90Hz 6.7 50 MP,1714020,/uz/product/smartfon-samsung-galaxy-qora---1-1353031?skuId=4365197
Smartfon INOI A54 qora IPS ekran 50 MP kamera 5000 mA/s MediaTek Helio G88,1004500,/uz/product/smartfon-inoi-a54-1289164?skuId=4116016
Smartfon Redmi 15 8/256 GB 6.9 IPS-дисплей 50 MP 7000 mAh 33 Vt tez quvvatlash,1694420,/uz/product/smartfon-redmi-15-qora---1-1919162?skuId=6755958
Smartfon SI mavjud HONOR X5c/X5c Plus 4/64/128 GB 6.74’ akkumulyator 5260 mAs,1086820,/uz/product/smartfon-si-mavjud-och-koʻk---281-1963899?skuId=6942929
INFINIX hot 50 i 4/6/8+128/256GB,1678740,/uz/product/infinix-hot-50-i-468128256gb-metall-kulrang---291-1725073?skuId=5915597
Smartfon Samsung Galaxy A17 4G 6/128 8/256 sAMOLED 90 Hz 50 Mp 5000 mA/h 25 Вт,2023004,/uz/product/smartfon-samsung-galaxy-kulrang---3-1970501?skuId=6963922
Smartfon Redmi 15 8/256 GB 6.9 IPS-дисплей 50 MP 7000 mAh 33 Vt tez quvvatlash,1694420,/uz/product/smartfon-redmi-15-tilla---133-1919162?skuId=6755964
Ozbekiston smartfoni 4 + 64 GB xotira + g‘ilof,773220,/uz/product/ozbekiston-smartfoni-4-64-gb-xotira-qora---1-1342011?skuId=4322682
Smartfon HUAWEI nova Y73: 50 MP kamera NFC kuchli 6620 mA·so batareya,1469020,/uz/product/smartfon-huawei-nova-qora---1-2139896?skuId=7665252
Smartfon Samsung Galaxy A56 5G 50 MP Super AMOLED 120 Hz,4038580,/uz/product/smartfon-samsung-galaxy-qora---1-1602716?skuId=5321739
Smartfon Samsung Galaxy A07 4/128GB 6/128GB 50 MP 2 SIM  90Hz 5000mAh,1322020,/uz/product/smartfon-samsung-galaxy-qora---1-1904243?skuId=6696891
Smartfon Ajib I1 4/64 Gb 4500Mah ekran 90Hz,685020,/uz/product/smartfon-ajib-i1-464-gb-4500mah-oq---5-2104678?skuId=7529643
Smartfon W&O X 16 8/128 GB X 15 pro max 4/64 GB,969220,/uz/product/smartfon-wo-x-16-8128-gb-oq---5-1487310?skuId=4863788
Smartfon Redmi Note 14 8 GB + 256 GB AMOLED 120Hz displey 6.67,1831620,/uz/product/smartfon-redmi-note-qora---1-1436675?skuId=4668868
